mode,crossover,mutation,mean_fitness,std_fitness,median_fitness,sucess_rate,mean_evals,std_evals,n
0,0.6,0.01,3796.6666666666665,18.257418583505547,3800.0,0.0,20000.0,0.0,30
0,0.6,0.02,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.6,0.05,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.6,0.1,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.7,0.01,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.7,0.02,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.7,0.05,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.7,0.1,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.8,0.01,3796.6666666666665,18.257418583505565,3800.0,0.0,20000.0,0.0,30
0,0.8,0.02,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.8,0.05,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.8,0.1,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.9,0.01,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.9,0.02,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.9,0.05,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
0,0.9,0.1,3800.0,0.0,3800.0,0.0,20000.0,0.0,30
1,0.6,0.01,3796.6666666666665,18.257418583505547,3800.0,96.66666666666667,803.3666666666667,3630.39965011295,30
1,0.6,0.02,3800.0,0.0,3800.0,100.0,325.3333333333333,1143.2557964392545,30
1,0.6,0.05,3800.0,0.0,3800.0,100.0,125.73333333333333,88.03640835133098,30
1,0.6,0.1,3800.0,0.0,3800.0,100.0,110.16666666666667,31.038444830101657,30
1,0.7,0.01,3800.0,0.0,3800.0,100.0,243.43333333333334,711.053549723727,30
1,0.7,0.02,3800.0,0.0,3800.0,100.0,174.3,323.3521780265022,30
1,0.7,0.05,3800.0,0.0,3800.0,100.0,113.93333333333334,35.11845308561351,30
1,0.7,0.1,3800.0,0.0,3800.0,100.0,112.56666666666666,31.279257568282983,30
1,0.8,0.01,3796.6666666666665,18.257418583505565,3800.0,96.66666666666667,1351.2,4226.4110673649375,30
1,0.8,0.02,3800.0,0.0,3800.0,100.0,318.3333333333333,879.8186464122665,30
1,0.8,0.05,3800.0,0.0,3800.0,100.0,212.96666666666667,562.7194121243812,30
1,0.8,0.1,3800.0,0.0,3800.0,100.0,118.8,56.109130119425494,30
1,0.9,0.01,3800.0,0.0,3800.0,100.0,1365.3333333333333,3962.726685201642,30
1,0.9,0.02,3800.0,0.0,3800.0,100.0,311.7,924.2505687274979,30
1,0.9,0.05,3800.0,0.0,3800.0,100.0,137.1,101.68828298556193,30
1,0.9,0.1,3800.0,0.0,3800.0,100.0,112.23333333333333,35.25149381362375,30
